participantID,control,truncated,difference,graphliteracy_sum_rating,subject_condition,dem_ed,dem_gender,dem_age
s11001,5,6,1,43,no warning,6,male,26
s11002,3.9,5.05,1.15,53,no warning,5,male,21
s11003,3.5,4.2,0.7,35,no warning,3,female,26
s11004,3.8,5.05,1.25,41,no warning,3,male,29
s11005,4.15,5.4,1.25,41,no warning,6,male,28
s11006,3.55,4,0.45,46,no warning,3,male,40
s11007,3.4,4.3,0.9,47,no warning,6,male,33
s11008,3.8,5.55,1.75,44,no warning,5,female,52
s11009,3.15,3.55,0.4,52,no warning,6,female,26
s11010,3.7,4.85,1.15,41,no warning,7,female,24
s11011,3.55,4.75,1.2,41,no warning,6,male,28
s11012,3,4.1,1.1,41,no warning,2,non-binary,19
s11013,3.35,3.9,0.55,45,no warning,6,male,27
s11014,3.4,4.4,1,39,no warning,6,male,30
s11015,3.65,5.05,1.4,49,no warning,2,male,59
s11016,3.6,4.05,0.45,36,no warning,8,female,38
s11017,4.25,5.6,1.35,40,no warning,2,male,38
s11018,3.65,4.35,0.7,51,no warning,3,female,36
s11019,4.25,5.35,1.1,46,no warning,6,male,24
s11020,3.7,5.2,1.5,41,no warning,3,female,42
s11021,3.7,5.2,1.5,55,no warning,2,male,35
s11022,3.5,4.8,1.3,46,no warning,6,female,33
s11023,3.35,4.65,1.3,38,no warning,6,male,28
s11024,3.8,5.25,1.45,47,no warning,5,female,24
